pb_eng_voice1|Hi everyone Today we're starting our trip to Annapurna Base Camp Its going to be an amazing adventure|Hi everyone Today we're starting our trip to Annapurna Base Camp Its going to be an amazing adventure,,
pb_eng_voice2|I cant wait to see the mountains and breathe in the fresh mountain air Its like a dream come true|I cant wait to see the mountains and breathe in the fresh mountain air Its like a dream come true,,
pb_eng_voice3|Unfortunately the weather looks a bit cloudy today I hope we wont miss the view of the peaks|Unfortunately the weather looks a bit cloudy today I hope we wont miss the view of the peaks,,
pb_eng_voice4|Its really frustrating when the path gets muddy It slows us down and makes trekking difficult|Its really frustrating when the path gets muddy It slows us down and makes trekking difficult,,
pb_eng_voice5|Ugh these flies are everywhere I just cant stand them They ruin the experience sometimes|Ugh these flies are everywhere I just cant stand them They ruin the experience sometimes,,
pb_eng_voice6|This part of the trail looks a bit risky Im a little scared but we must keep going carefully|This part of the trail looks a bit risky Im a little scared but we must keep going carefully,,
pb_eng_voice7|Wow Look at that stunning view I wasnt expecting to see the mountains this clearly|Wow Look at that stunning view I wasnt expecting to see the mountains this clearly,,
pb_eng_voice8|Were getting closer to Annapurna Base Camp but the cold wind is really biting Its making the journey tougher|Were getting closer to Annapurna Base Camp but the cold wind is really biting Its making the journey tougher,,
pb_eng_voice9|Im so happy to be on this journey with you The views the peace—its really worth it|Im so happy to be on this journey with you The views the peace—its really worth it,,
pb_eng_voice10|We finally made it to Annapurna Base Camp The feeling is incredible like weve achieved something great|We finally made it to Annapurna Base Camp The feeling is incredible like weve achieved something great,,
pb_eng_voice11|Hello everyone Today we are visiting the beautiful Rara Lake the largest lake in Nepal Im so excited to explore this place|Hello everyone Today we are visiting the beautiful Rara Lake the largest lake in Nepal Im so excited to explore this place,,
pb_eng_voice12|Just look at this crystal-clear water and the peaceful surroundings It feels like paradise|Just look at this crystal-clear water and the peaceful surroundings It feels like paradise,,
pb_eng_voice13|Unfortunately theres some fog today so we cant see the mountains very clearly I hope it clears soon|Unfortunately theres some fog today so we cant see the mountains very clearly I hope it clears soon,,
pb_eng_voice14|Its really frustrating that the trail is full of rocks It makes walking so much harder|Its really frustrating that the trail is full of rocks It makes walking so much harder,,
pb_eng_voice15|Ugh the garbage left by visitors is everywhere Why dont people respect nature? Its really disappointing|Ugh the garbage left by visitors is everywhere Why dont people respect nature? Its really disappointing,,
pb_eng_voice16|This part of the lake looks so deep and the silence is a bit unsettling I feel a little scared here|This part of the lake looks so deep and the silence is a bit unsettling I feel a little scared here,,
pb_eng_voice17|Wow just look at that The sun is setting over the lake and the colors are unreal I didnt expect it to be this beautiful|Wow just look at that The sun is setting over the lake and the colors are unreal I didnt expect it to be this beautiful,,
pb_eng_voice18|Were getting closer to Rara Lake but the cold is starting to get to me Its a bit hard to keep going|Were getting closer to Rara Lake but the cold is starting to get to me Its a bit hard to keep going,,
